Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-07-01T04:00:00.000Z,92.25,94.0,91.7699966431,92.1800003052,13935800,0.0,0.0,ABT,雅培,Abbott Laboratories,USD
2026-07-02T04:00:00.000Z,93.4100036621,95.7399978638,91.9100036621,95.4000015259,10643900,0.0,0.0,ABT,雅培,Abbott Laboratories,USD
2026-07-06T04:00:00.000Z,95.0,95.9199981689,92.9899978638,95.6299972534,15257000,0.0,0.0,ABT,雅培,Abbott Laboratories,USD
2026-07-07T04:00:00.000Z,97.2699966431,98.1399993896,95.7399978638,95.8399963379,10255500,0.0,0.0,ABT,雅培,Abbott Laboratories,USD
