Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-07-01T04:00:00.000Z,504.7799987793,521.1699829102,502.8699951172,513.3300170898,2220000,0.0,0.0,TMO,赛默飞世尔,Thermo Fisher Scientific Inc.,USD
2026-07-02T04:00:00.000Z,518.6900024414,529.1500244141,511.9800109863,523.4400024414,2321800,0.0,0.0,TMO,赛默飞世尔,Thermo Fisher Scientific Inc.,USD
2026-07-06T04:00:00.000Z,520.0,520.0,506.8299865723,517.5999755859,1857600,0.0,0.0,TMO,赛默飞世尔,Thermo Fisher Scientific Inc.,USD
2026-07-07T04:00:00.000Z,525.0,527.3699951172,513.4199829102,516.6199951172,1366600,0.0,0.0,TMO,赛默飞世尔,Thermo Fisher Scientific Inc.,USD
